year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,103,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,69,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,35,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,19,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,7,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,802,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,794,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,785,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1335,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1345,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,939,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,905,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,689,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,475,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,837,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,351,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,181,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,141,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,113,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,61,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,37,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,13,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,6,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,0-4 years,-117,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,10-14 years,175,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,15-19 years,1018,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,20-24 years,-203,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,25-29 years,-82,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,30-34 years,77,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,35-39 years,-38,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,40-44 years,-13,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,45-49 years,-48,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,5-9 years,-26,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,50-54 years,-38,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,55-59 years,16,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,60-64 years,2,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,65-69 years,-10,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,70-74 years,8,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,75-79 years,-2,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,80-84 years,6,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,85-89 years,1,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,6,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,90+ years,3,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,90+ years,3,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,Female,TOTAL,5285,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,Male,TOTAL,5256,0,Final
2001-01,2020-09,Long-term migrant,Departures,Female,TOTAL,4770,0,Final
2001-01,2020-09,Long-term migrant,Departures,Male,TOTAL,5042,0,Final
2001-01,2020-09,Long-term migrant,Net,Female,TOTAL,515,0,Final
2001-01,2020-09,Long-term migrant,Net,Male,TOTAL,214,0,Final
2001-01,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,10541,0,Final
2001-01,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,9812,0,Final
2001-01,2020-09,Long-term migrant,Net,TOTAL,TOTAL,729,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,269,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,283,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,10-14 years,275,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,10-14 years,337,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,15-19 years,807,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,15-19 years,954,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,20-24 years,822,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,20-24 years,882,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,25-29 years,679,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,25-29 years,738,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,30-34 years,494,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,30-34 years,488,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,35-39 years,359,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,35-39 years,419,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,40-44 years,288,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,40-44 years,281,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,45-49 years,163,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,45-49 years,173,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,5-9 years,268,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,5-9 years,265,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,50-54 years,133,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,50-54 years,152,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,55-59 years,127,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,55-59 years,130,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,60-64 years,135,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,60-64 years,111,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,65-69 years,98,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,65-69 years,86,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,70-74 years,59,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,70-74 years,53,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,75-79 years,38,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,75-79 years,39,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,80-84 years,20,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,80-84 years,7,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,85-89 years,7,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,85-89 years,3,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,90+ years,1,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,90+ years,5,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,0-4 years,371,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,0-4 years,373,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,10-14 years,257,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,10-14 years,264,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,15-19 years,296,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,15-19 years,279,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,20-24 years,711,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,20-24 years,691,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,25-29 years,695,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,25-29 years,718,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,30-34 years,469,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,30-34 years,505,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,35-39 years,378,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,35-39 years,437,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,40-44 years,279,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,40-44 years,338,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,45-49 years,194,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,45-49 years,213,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,5-9 years,289,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,5-9 years,325,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,50-54 years,142,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,50-54 years,164,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,55-59 years,130,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,55-59 years,129,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,60-64 years,102,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,60-64 years,102,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,65-69 years,86,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,65-69 years,87,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,70-74 years,45,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,70-74 years,39,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,75-79 years,24,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,75-79 years,25,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,80-84 years,5,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,80-84 years,6,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,85-89 years,5,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,85-89 years,4,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,90+ years,2,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,90+ years,4,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,0-4 years,-102,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,0-4 years,-90,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,10-14 years,18,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,10-14 years,73,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,15-19 years,511,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,15-19 years,675,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,20-24 years,111,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,20-24 years,191,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,25-29 years,-16,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,25-29 years,20,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,30-34 years,25,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,30-34 years,-17,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,35-39 years,-19,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,35-39 years,-18,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,40-44 years,9,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,40-44 years,-57,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,45-49 years,-31,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,45-49 years,-40,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,5-9 years,-21,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,5-9 years,-60,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,50-54 years,-9,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,50-54 years,-12,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,55-59 years,-3,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,55-59 years,1,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,60-64 years,33,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,60-64 years,9,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,65-69 years,12,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,65-69 years,-1,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,70-74 years,14,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,70-74 years,14,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,75-79 years,14,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,75-79 years,14,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,80-84 years,15,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,80-84 years,1,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,85-89 years,2,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,85-89 years,-1,0,Final
2001-02,2020-09,Long-term migrant,Net,Female,90+ years,-1,0,Final
2001-02,2020-09,Long-term migrant,Net,Male,90+ years,1,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,552,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,612,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,1761,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,1704,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,1417,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,982,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,778,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,569,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,336,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,533,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,285,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,257,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,246,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,184,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,112,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,77,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,27,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,10,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,744,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,521,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,575,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1402,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1413,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,974,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,815,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,617,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,407,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,614,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,306,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,259,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,204,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,173,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,84,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,49,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,11,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,9,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,0-4 years,-192,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,10-14 years,91,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,15-19 years,1186,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,20-24 years,302,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,25-29 years,4,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,30-34 years,8,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,35-39 years,-37,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,40-44 years,-48,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,45-49 years,-71,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,5-9 years,-81,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,50-54 years,-21,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,55-59 years,-2,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,60-64 years,42,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,65-69 years,11,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,70-74 years,28,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,75-79 years,28,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,80-84 years,16,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,85-89 years,1,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,6,0,Final
2001-02,2020-09,Long-term migrant,Departures,TOTAL,90+ years,6,0,Final
2001-02,2020-09,Long-term migrant,Net,TOTAL,90+ years,0,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Female,TOTAL,5042,0,Final
2001-02,2020-09,Long-term migrant,Arrivals,Male,TOTAL,5406,0,Final
2001-02,2020-09,Long-term migrant,Departures,Female,TOTAL,4480,0,Final
2001-02,2020-09,Long-term migrant,Departures,Male,TOTAL,4703,0,Final
